,Pan-Keratin-Ki67-SMA-HLA-DR_Clean_1,Pan-Keratin-Ki67-SMA-HLA-DR_Clean_2,Pan-Keratin-Ki67-SMA-HLA-DR_Clean_3,CD8-p53-SMA-HLA-DR_Clean_1,CD8-p53-SMA-HLA-DR_Clean_2,CD8-p53-SMA-HLA-DR_Clean_3,Pan-Keratin-p53-SMA-CD45_Clean_1,Pan-Keratin-p53-SMA-CD45_Clean_2,Pan-Keratin-p53-SMA-CD45_Clean_3,Pan-Keratin-p53-SMA-CD45_Clean_4,CD8-p53-SMA-HLA-DR_Clean_4,Pan-Keratin-Ki67-SMA-HLA-DR_Clean_4
std,0.159315281,0.204268277,0.328272164,0.191447057,0.201634504,0.253188044,0.202348955,0.163659044,0.219416045,0.200955689,0.216012716,0.522679955
mean,-0.123744313,0.32898882,0.769016773,-0.112560261,0.167302363,0.3899073,-0.219353482,0.142985977,0.33890979,0.502708584,0.536072373,1.63832587
